station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset
radnet-ca-san_jose,CA,California,San Jose,San Jose,37.296011,-121.814552,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,143823,74902,44.42,48,92,3801.84,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-co-colorado_springs,CO,Colorado,Colorado Springs,Colorado Springs,38.867255,-104.760749,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,116379,1595,127.81,136,160,9144.08,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-co-denver,CO,Colorado,Denver,Denver,39.76185,-104.881105,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,151324,4,0,0,0,5954.72,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-co-grand_junction,CO,Colorado,Grand Junction,Grand Junction,39.089062,-108.567452,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,97898,,,,,6513.42,Dose unavailable,Gamma count-only monitor,EPA RadNet near-real-time air monitor archives
radnet-ct-hartford,CT,Connecticut,Hartford,Hartford,41.765933,-72.681579,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,124759,6,0,0,0,5890.79,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-dc-washington,DC,District of Columbia,Washington,Washington,38.904247,-77.016517,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,153204,73604,31.31,40,135,2887.59,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-de-dover,DE,Delaware,Dover,Dover,39.160602,-75.521659,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,109571,35432,47.64,65,156,3212.38,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-fl-jacksonville,FL,Florida,Jacksonville,Jacksonville,30.336864,-81.661603,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,112395,46509,42.53,84,172,2781.8,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-fl-miami,FL,Florida,Miami,Miami,25.775163,-80.208615,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,115764,39819,50.65,75,121,4840.49,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-fl-orlando,FL,Florida,Orlando,Orlando,28.40865,-81.254805,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,127934,30273,31.32,34,85,3000.17,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-fl-tallahassee,FL,Florida,Tallahassee,Tallahassee,30.453529,-84.252272,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,116761,68559,55.13,61,114,4812.41,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-fl-tampa,FL,Florida,Tampa,Tampa,27.970086,-82.479673,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,119157,64653,31.12,35,67,2249.27,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
