state,state_name,place_name,census_name,geoid,population_2024,latitude,longitude,coordinate_source,geometry_precision,matched_town_hall_rows_with_coordinates,population_per_town_hall,land_area_sqmi,water_area_sqmi,match_status,source_population_dataset,source_coordinate_dataset,dominant_people_profile,town_hall_name,town_hall_address,town_hall_locality,town_hall_latitude,town_hall_longitude
TX,Texas,Prosper,Prosper town,4859696,44503,33.236091,-96.802260,town_hall,point,3,14834.33,25.2,0.222,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Prosper Town Hall,121 W Broadway St,"Prosper, TX 75078",33.236091,-96.802260
TX,Texas,Providence Village,Providence Village town,4859748,10350,33.237843,-96.956797,census_place_centroid,point,0,,2.765,0.021,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Putnam,Putnam town,4859984,77,32.37027,-99.195495,census_place_centroid,point,0,,1.013,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Pyote,Pyote town,4859996,69,31.538066,-103.122483,census_place_centroid,point,0,,1.274,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Quanah,Quanah city,4860044,2181,34.295366,-99.742889,census_place_centroid,point,0,,3.476,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Queen City,Queen City city,4860080,1391,33.146597,-94.153525,town_hall,point,3,463.67,3.543,0.02,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Queen City City Hall,601 Loop 236,"Queen City, TX 75572",33.146597,-94.153525
TX,Texas,Quinlan,Quinlan city,4860140,1561,32.908974,-96.131296,census_place_centroid,point,0,,1.293,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Quintana,Quintana town,4860164,25,28.915077,-95.331991,census_place_centroid,point,0,,0.682,1.703,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Quitaque,Quitaque city,4860176,358,34.36741,-101.055598,census_place_centroid,point,0,,0.723,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Quitman,Quitman city,4860188,2043,32.794033,-95.44546,census_place_centroid,point,0,,1.928,0.009,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Ralls,Ralls city,4860356,1613,33.678774,-101.384591,census_place_centroid,point,0,,1.349,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rancho Viejo,Rancho Viejo town,4860544,2863,26.035785,-97.555374,census_place_centroid,point,0,,2.053,0.254,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Ranger,Ranger city,4860632,2343,32.469491,-98.67574,census_place_centroid,point,0,,6.998,0.131,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rankin,Rankin city,4860668,736,31.22536,-101.939438,census_place_centroid,point,0,,1.055,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Ransom Canyon,Ransom Canyon town,4860672,1180,33.530315,-101.685343,census_place_centroid,point,0,,0.789,0.155,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Ravenna,Ravenna city,4860752,192,33.670474,-96.240886,census_place_centroid,point,0,,1.204,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Raymondville,Raymondville city,4860836,10107,26.482418,-97.770463,town_hall,point,6,1684.50,4.115,0.01,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Whataburger,1007 E Hidalgo Ave,"Raymondville, TX 78580",26.482418,-97.770463
TX,Texas,Red Lick,Red Lick city,4861172,930,33.485081,-94.161474,census_place_centroid,point,0,,1.817,0.109,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Red Oak,Red Oak city,4861196,19365,32.540000,-96.891322,town_hall,point,5,3873.00,16.236,0.006,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Ovilla City Hall,105 Cockrell Hill Rd,"Red Oak, TX 75154",32.540000,-96.891322
TX,Texas,Redwater,Redwater city,4861340,861,33.358343,-94.256165,census_place_centroid,point,0,,1.99,0.002,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Refugio,Refugio town,4861436,2788,28.307445,-97.274981,census_place_centroid,point,0,,1.573,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Reklaw,Reklaw city,4861508,345,31.86659,-94.981549,census_place_centroid,point,0,,2.942,0.005,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Reno,Reno city,4861604,3650,32.948835,-97.565987,census_place_centroid,point,0,,13.191,0.005,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Retreat,Retreat town,4861616,436,32.048448,-96.476909,census_place_centroid,point,0,,4.985,0.025,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rhome,Rhome city,4861700,1926,33.078895,-97.493199,census_place_centroid,point,0,,4.592,0.055,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Rice,Rice city,4861736,1254,32.23926,-96.49738,census_place_centroid,point,0,,2.671,0.081,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Richardson,Richardson city,4861796,118221,32.959692,-96.731320,town_hall,point,3,39407.00,28.562,0.09,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,City of Richardson Purchasing,411 W Arapaho Rd,"Richardson, TX 75080",32.959692,-96.731320
TX,Texas,Richland,Richland town,4861820,273,31.924784,-96.423607,census_place_centroid,point,0,,2.413,0.016,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Richland Hills,Richland Hills city,4861844,8546,32.809017,-97.230041,town_hall,point,4,2136.50,3.135,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Richland Hills City Animal Service,7049 Baker Blvd,"Richland Hills, TX 76118",32.809017,-97.230041
TX,Texas,Richland Springs,Richland Springs town,4861880,246,31.271513,-98.948647,census_place_centroid,point,0,,1.004,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
